attack,category,severity,nc,ber,gain_ratio_mean,gain_ratio_std,gain_identity_error,inference_path
common20_jpeg__q70,compression,moderate,0.9980583700229084,0.001953125,1.0257053638064098,0.24952843787002943,28.92196959113642,degree_normalized_icm
common20_jpeg2000__layer7,compression,moderate,0.9924493951257735,0.007568359375,1.032725093717095,0.36715752276998687,2.0579577833594107,degree_normalized_icm
common20_bit_depth__bits6,compression,moderate,0.9966002914035942,0.00341796875,1.0113724505423138,0.2970843491641324,1.8093690616943783,degree_normalized_icm
common20_color_quantization__colors64,compression,moderate,0.9834020601227464,0.0166015625,1.0456012386492735,0.40765647476300787,30.647461975456103,degree_normalized_icm
common20_gaussian_noise__sigma1,noise,mild,1.0,0.0,1.0074180259399785,0.07599060673917463,1.2949170807971062,degree_normalized_icm
common20_salt_pepper__0p005,noise,moderate,0.9768078621658005,0.023193359375,1.372339344941829,1.630727631870996,3.5006361882763777,degree_normalized_icm
common20_speckle__var0p005,noise,moderate,0.9562701018732602,0.04345703125,1.3362640896801334,1.122316352670538,3.2382281724992787,degree_normalized_icm
common20_poisson__peak255,noise,mild,0.9335154471595974,0.06591796875,1.4017951268341113,1.1408252407678177,2.9811485423894606,degree_normalized_icm
common20_median__size3,filtering,moderate,0.9866171147522936,0.013427734375,0.957949879163751,0.26902659443841975,3.5043103530236444,degree_normalized_icm
common20_average__size3,filtering,moderate,0.9885894925961598,0.011474609375,0.9289142595679067,0.18376244625929045,1.4535253309113791,degree_normalized_icm
common20_gaussian_blur__radius1,filtering,moderate,0.9856692056612139,0.014404296875,0.9196006102490715,0.20014899510673909,1.5160482333194705,degree_normalized_icm
common20_sharpen__factor2,filtering,moderate,0.994666426143877,0.00537109375,1.0896891350061897,0.14043666571364416,1.5513791381561124,degree_normalized_icm
common20_rotation_back__deg1,geometric,mild,0.9965949683415264,0.00341796875,2.0141186997291936,9.377559884861498,5.540903056807626,degree_normalized_icm
common20_resize__factor0p75,geometric,moderate,0.9997571341797822,0.000244140625,0.9839220840856261,0.05947852169489786,0.5638081987291589,degree_normalized_icm
common20_crop_resize__keep0p9,geometric,moderate,0.7318320608521597,0.2763671875,3.3873334858611894,10.824780706139697,33.59702078934499,degree_normalized_icm
common20_translation__x4_y4,geometric,mild,0.99927122545889,0.000732421875,2.0864924587322418,11.19261360052709,6.0933123384428685,degree_normalized_icm
common20_brightness__factor0p9,photometric,mild,1.0,0.0,0.9015624354669838,0.02877668435626316,0.335202737741366,degree_normalized_icm
common20_contrast__factor1p1,photometric,mild,0.9995142093470912,0.00048828125,1.096249798743378,0.039962946117510924,0.6782087305315144,degree_normalized_icm
common20_gamma__1p2,photometric,moderate,0.9997572520901243,0.000244140625,1.0110651678282014,0.09236386325421907,0.8358915236980857,degree_normalized_icm
common20_hist_equalization,photometric,moderate,0.9902734277375501,0.009765625,1.5257133080189367,0.5513304654576511,2.044677145260146,degree_normalized_icm
