variant,psnr,ssim,clean_nc,mean_nc,q10_nc,min_nc,mean_ber
full,47.94200057340662,0.9947165357271807,1.0,0.9975347797762937,0.9908959703914935,0.9883184102263305,0.0024739583333333332
uniform_step,47.75295757673479,0.9942335248978796,1.0,0.9979086832060546,0.9932411440589552,0.9880726942470797,0.002099609375
no_gain_normalization,47.94200057340662,0.9947165357271807,1.0,0.9920745266952525,0.9851569019529562,0.9759650688203739,0.007958984375
no_schur_departure,47.94200057340662,0.9947165357271807,1.0,0.9970332440187977,0.9894903440685734,0.9866226903189256,0.002978515625
no_spatial_map,47.94200057340662,0.9947165357271807,1.0,0.9791438857933503,0.9198340984829904,0.8947554694574869,0.020930989583333334
no_certificate_evidence,47.94200057340662,0.9947165357271807,1.0,0.997779160786308,0.9916897797496396,0.9885555052674623,0.0022298177083333332
no_sync_certificate,47.94200057340662,0.9947165357271807,1.0,0.9975347797762937,0.9908959703914935,0.9883184102263305,0.0024739583333333332
