attack,nc,ncc,ber,pilot_detected,pilot_votes,pilot_count,det_nonzero_after_attack,min_abs_det_after_attack
jpeg_q50,0.737643166733056,0.4692231330632241,0.265380859375,True,48,79,False,1.0735054244496719e-15
gaussian_noise_sigma5,0.9875956909997134,0.9751030909734076,0.012451171875,True,79,79,False,1.0858262175440202e-14
gaussian_var_0p003,0.8773647126951108,0.7529231204425285,0.12353515625,True,77,79,False,8.88020666286001e-15
speckle_0p01,0.887115006082925,0.7724576146476811,0.11376953125,True,74,79,False,7.501957829454934e-15
median_5x5,0.901579826471907,0.8022428053706117,0.098876953125,True,65,79,False,8.135158294657671e-16
motion_blur_9,0.8725884032839148,0.741765732502223,0.129150390625,True,66,79,False,6.283780775538412e-15
hist_equalization,0.9861303771525145,0.9721772102051395,0.013916015625,True,79,79,False,0.0
rotation_2deg,0.4874514661120537,-0.02684541676518182,0.513427734375,False,39,79,False,0.0
crop_resize_90,0.5079710633586232,0.0038047132234198928,0.498046875,True,47,79,False,4.168220280870992e-15
occlusion_25pct,0.8749592587641253,0.7568544327420721,0.122314453125,True,57,79,False,0.0
shear_0p08,0.49279978195135465,-0.01314222271826765,0.506591796875,False,36,79,False,0.0
jpeg70_plus_blur,0.7773792314184564,0.5567805338000629,0.2216796875,True,46,79,False,2.6126630047844236e-15
