host,psnr,ssim,clean_nc,original_host_nc,embedding_det_nonzero,min_abs_det,activated_singular_payload_blocks
Girl.bmp,53.13883771143597,0.9965799493736899,1.0,0.5029369420777436,True,0.3749999999999998,0
airplane.bmp,51.583517303537214,0.9950120524125766,1.0,0.5029369420777436,True,0.5000000000000027,0
athens.bmp,52.97041040117878,0.9977236984161061,1.0,0.5031730134609093,True,0.4999999999999673,62
baboon.bmp,56.018234575640655,0.9995731066713773,1.0,0.5025720297602425,True,0.5000000000000003,0
butfly.bmp,54.134471941764275,0.9987163252910621,1.0,0.5029369420777436,True,0.49999999999998895,0
house.bmp,53.18522016660143,0.9972999412899929,1.0,0.5029369420777436,True,0.5000000000000016,0
lenna.bmp,54.061855095429465,0.998193184825816,1.0,0.5043951048423988,True,0.4999999999999946,0
manhatan.bmp,53.25150555176248,0.9977041522703063,1.0,0.5029316761049449,True,0.4999999999999997,53
milkdrop.bmp,52.60604346146106,0.9960356878023587,1.0,0.5033017055917446,True,0.40624999999999994,0
pepper.bmp,54.433788280943915,0.9983044555473214,1.0,0.5029369420777436,True,0.49999999999999645,8
safari.bmp,52.08307451530069,0.9980926023929083,1.0,0.5025720297602425,True,0.500000000000002,0
sailboat.bmp,54.03910773391854,0.9981960916200171,1.0,0.5025720297602425,True,0.5000000000000006,0
tiffany.bmp,53.404416332974634,0.9976450041191319,1.0,0.5030604379524294,True,0.06249999999992505,4
